# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1977
#@/user_id	myrimedata-windows
bing bao 	冰雹	c=1 d=0.666976 t=1721
bu 	不	c=7 d=2.48449 t=1721
bu bao kuo 	不包括	c=1 d=0.0720785 t=1721
bu cuo 	不錯	c=1 d=0.923116 t=1721
bu fang 	不妨	c=1 d=0.0374406 t=1721
bu fen 	部分	c=1 d=0.0605068 t=1721
bu guo 	不過	c=1 d=0.856415 t=1721
bu hao 	不好	c=0 d=0.0826959 t=1721
bu neng 	不能	c=3 d=0.970446 t=1721
bu shi 	不是	c=1 d=0.182684 t=1721
bu shu 	部署	c=1 d=0.0361528 t=1721
bu tai 	不太	c=1 d=0.278037 t=1721
bu xia 	不下	c=0 d=0.0790571 t=1721
bu xia ni shi 	不下你是	c=1 d=0.794533 t=1721
bu xian shi 	不顯示	c=2 d=0.0425261 t=1721
bu ying gai 	不應該	c=1 d=0.522046 t=1721
bu yong 	不用	c=1 d=0.869358 t=1721
bu zai 	不再	c=1 d=0.12307 t=1721
bu zai me 	不再麼	c=1 d=0.273898 t=1721
bu zhi dao 	不知道	c=1 d=0.0845849 t=1721
bu zhuang 	不裝	c=1 d=0.506617 t=1721
cai jie 	採擷	c=1 d=0.995012 t=1721
cai ni 	彩泥	c=1 d=0.226502 t=1721
can zhao 	參照	c=1 d=0.543351 t=1721
cao zuo 	操作	c=2 d=0.147835 t=1721
ce shi 	測試	c=3 d=0.918513 t=1721
cha jian 	插件	c=1 d=0.2334 t=1721
chan 	禪	c=2 d=0.553343 t=1721
chan dao 	產道	c=1 d=0.0539337 t=1721
chan dao 	禪道	c=28 d=9.85057 t=1721
chan dao nao 	禪道鬧	c=1 d=0.239309 t=1721
chan nan dao 	禪難道	c=2 d=0.475079 t=1721
chan pin 	產品	c=1 d=0.143704 t=1721
chan zhi 	蟬知	c=7 d=1.53402 t=1721
chang gui 	常規	c=1 d=0.763379 t=1721
chao shan 	潮汕	c=1 d=0.715338 t=1721
chao shi 	超市	c=0 d=0.0120633 t=1721
che 	車	c=1 d=0.784022 t=1721
cheng 	成	c=1 d=0.612626 t=1721
cheng gong 	成功	c=1 d=0.163654 t=1721
cheng xu 	程序	c=3 d=0.200186 t=1721
cheng xu yuan 	程序員	c=1 d=0.891366 t=1721
cheng yang 	城陽	c=1 d=0.650509 t=1721
chi 	吃	c=2 d=1.75654 t=1721
chong da le 	充大了	c=1 d=0.276651 t=1721
chong dong 	衝動	c=1 d=0.12938 t=1721
chong ming dao 	崇明島	c=1 d=0.209088 t=1721
chong qi 	重啓	c=0 d=0.0856415 t=1721
chong qi xia 	重啓下	c=1 d=0.860708 t=1721
chu shi hua 	初始化	c=1 d=0.955998 t=1721
chuan 	傳	c=1 d=0.351692 t=1721
chuan le 	傳了	c=1 d=0.362402 t=1721
ci 	詞	c=1 d=0.111054 t=1721
cong 	從	c=1 d=0.621885 t=1721
da 	大	c=1 d=0.810584 t=1721
da an 	答案	c=0 d=0.111359 t=1721
da da 	大大	c=0 d=0.307183 t=1721
da da de 	大大的	c=1 d=0.669963 t=1721
da da de da da da wang qiu qi qian a du wu da da de da da de qing wen qin ai 	大大的大大打網球七千阿堵物大大的大大的請問親愛	c=1 d=0.327915 t=1721
da di dang qian 	大敵當前	c=0 d=0.033454 t=1721
da duo shu 	大多數	c=1 d=0.226988 t=1721
da duo shu ren 	大多數人	c=0 d=0.0293758 t=1721
da fei ji 	打飛機	c=0 d=0.00399551 t=1721
da fu du 	大幅度	c=1 d=1.01206 t=1721
da ji si 	大祭司	c=0 d=0.167894 t=1721
da jia 	大家	c=0 d=0.0348192 t=1721
da jian 	搭建	c=0 d=0.0113042 t=1721
da jian wang zhan 	搭建網站	c=1 d=0.113608 t=1721
da jiu dian 	大酒店	c=0 d=0.0843665 t=1721
da ren 	大人	c=0 d=0.0635657 t=1721
da ren a wa 	大人阿佤	c=1 d=0.0468877 t=1721
da sa 	搭撒	c=0 d=0.216917 t=1721
da sa shi shi shang shuo dao di ding ding ding ding ding ding ding ding wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu dong shen qian wang wa da ai dao de ding ding ding ding duo da dian shi wa wa de 	搭撒事實上說到底頂頂頂頂頂頂頂頂嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚動身前往挖大挨刀的頂頂頂頂多大點事哇哇地	c=1 d=0.307279 t=1721
da she wan 	大蛇丸	c=0 d=0.0442639 t=1721
da shi da fei 	大是大非	c=1 d=0.101266 t=1721
da shi dai 	大時代	c=0 d=0.063166 t=1721
da su da 	大蘇打	c=0 d=0.0418952 t=1721
da tui 	大腿	c=1 d=0.120633 t=1721
da wa 	大窪	c=1 d=0.771283 t=1721
da wa 	打瓦	c=0 d=0.0318224 t=1721
da wa an ding qi 	打瓦安定器	c=1 d=0.319819 t=1721
da wang qiu 	打網球	c=1 d=0.421309 t=1721
da wei de 	大威德	c=0 d=0.0421052 t=1721
da wu wei 	大無畏	c=1 d=0.488587 t=1721
da wu wei wa sa dan wa ao a a a a da da de ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding di di da da da wa da shi dai wa a da wa da 	大無畏瓦撒旦凹凹啊啊啊啊大大的頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂滴滴答答大窪大時代瓦阿達挖大	c=1 d=0.339596 t=1721
da xie 	大寫	c=1 d=0.882497 t=1721
dai biao 	代表	c=0 d=0.0444858 t=1721
dai fu 	大夫	c=0 d=0.00461896 t=1721
dai fu de 	大夫的	c=1 d=0.0464212 t=1721
dai fu kuan 	代付款	c=11 d=2.31404 t=1721
dai fu kuan duan kou 	代付款端口	c=1 d=0.0639279 t=1721
dai fu kuan le 	代付款了	c=1 d=0.189191 t=1721
dai fu kuan le shi kuai di fei 	代付款了是快遞費	c=1 d=0.621885 t=1721
dai fu kuan ling ling luo luo ling ling luo luo ling ling luo luo 	代付款零零落落零零落落零零落落	c=1 d=0.66365 t=1721
dai fu kuan shi da fu 	代付款士大夫	c=1 d=0.0393602 t=1721
dai ji shi jian 	待機時間	c=0 d=0.083527 t=1721
dai jia 	代價	c=0 d=0.0843665 t=1721
dai li shang 	代理商	c=0 d=0.0704688 t=1721
dai li shang kuai di fei jia 	代理商快遞費家	c=1 d=0.70822 t=1721
dan 	但	c=1 d=0.499074 t=1721
dan da ru dou 	膽大如斗	c=0 d=0.0298197 t=1721
dan du 	單獨	c=1 d=0.66034 t=1721
dan du fa di fang 	單獨發地方	c=1 d=0.744531 t=1721
dan ni er 	丹尼爾	c=1 d=0.0596059 t=1721
dan sheng di 	誕生地	c=0 d=0.083527 t=1721
dan wei 	單位	c=0 d=0.115617 t=1721
dan wei ru guo shui rong rong 	單位如果水溶溶	c=1 d=0.287941 t=1721
dang dang wang 	當當網	c=0 d=0.0800356 t=1721
